character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
五,Wǔ,Five,apparatus,3/3,,,,3,1,12,12,12,0.57,
今,jīn,,apparatus-split,1/2,,,,3,3,"14,21,67",14,67,0.57,
代,dài,,none,,,,,3,1,74,74,74,0.57,
伐,fá,,apparatus-split,1/3,,,,3,3,"22,24,30",22,30,0.57,
俗,Sú,,none,,,,,3,2,"20,80",20,80,0.57,
儉,jiǎn,,none,,,,,3,1,67,67,67,0.57,
兌,duì,,none,,,,,3,2,"52,56",52,56,0.57,
兒,ér,,none,,,,,3,3,"10,20,28",10,28,0.57,
全,quán,whole · stay whole · keep whole (transitive),locked,,whole · stay whole · keep whole (transitive),locked,complete; perfect; flawless; restore; made whole,3,1,22,22,22,0.57,glossary/quan-全.md
凶,xiōng,,apparatus-split,1/2,,,,3,3,"16,30,31",16,31,0.57,
前,qián,,none,,,,,3,3,"2,38,66",2,66,0.57,
勤,qín,it is not exhausted/toilsome,apparatus,1/1,,,,3,3,"6,41,52",6,52,0.57,
化,huà,,none,,,,,3,2,"37,57",37,57,0.57,
合,hé,,none,,,,,3,3,"32,55,64",32,64,0.57,
命,mìng,destiny/the system's command,apparatus,1/1,,,,3,2,"16,51",16,51,0.57,
喪,sàng,,none,,,,,3,2,"31,69",31,69,0.57,
四,sì,four,apparatus,1/1,,,,3,3,"10,15,25",10,25,0.57,
在,zài,place in,apparatus,1/1,,,,3,3,"24,32,49",24,49,0.57,
太,Tài,,none,,,,,3,3,"17,20,35",17,35,0.57,
夷,yí,invisible/colorless,apparatus,1/1,,,,3,3,"14,41,53",14,53,0.57,
