component,pinyin,gloss,role,gloss_status,builds_characters,characters
員,,,phonetic,"no gloss needed: present for sound, not meaning",1,損
哭,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,喪
唯,wéi,Agreement/yes,phonetic,glossed,1,雖
啚,,,phonetic,"no gloss needed: present for sound, not meaning",1,鄙
啚,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,圖
喬,,,phonetic,"no gloss needed: present for sound, not meaning",1,驕
嘼,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,獸
嚴,,,phonetic,"no gloss needed: present for sound, not meaning",1,儼
四,sì,four,phonetic,glossed,1,駟
囟,,,phonetic,"no gloss needed: present for sound, not meaning",1,細
囧,jiǒng,a lattice window letting light through,semantic,glossed,1,明
土,tǔ,,phonetic,"no gloss needed: present for sound, not meaning",1,牡
圭,,,phonetic,"no gloss needed: present for sound, not meaning",1,佳
地,dì,earth,semantic,glossed,1,至
坙,,,phonetic,"no gloss needed: present for sound, not meaning",1,輕
坴,,,phonetic,"no gloss needed: present for sound, not meaning",1,陸
坴,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,陸
壬,,,phonetic,"no gloss needed: present for sound, not meaning",1,聽
壬,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,重
壽,shòu,has true longevity,phonetic,glossed,1,籌
夅,,,phonetic,"no gloss needed: present for sound, not meaning",1,降
夗,,,phonetic,"no gloss needed: present for sound, not meaning",1,怨
大,dà,,phonetic,the apparatus glosses this character several ways and none won a majority,1,泰
夭,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,走
央,yāng,reached the center/end,phonetic,glossed,1,殃
夸,kuā,,phonetic,"no gloss needed: present for sound, not meaning",1,跨
奐,,,phonetic,"no gloss needed: present for sound, not meaning",1,渙
奞,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,奪
奴,,,phonetic,"no gloss needed: present for sound, not meaning",1,怒
婁,,,phonetic,"no gloss needed: present for sound, not meaning",1,數
婦,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,歸
子,zǐ,,phonetic,"no gloss needed: present for sound, not meaning",1,字
孚,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,甲
孝,xiào,devotion,semantic,glossed,1,教
孟,,,phonetic,"no gloss needed: present for sound, not meaning",1,猛
守,shǒu,,semantic,the apparatus glosses this character several ways and none won a majority,1,負
宮,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,營
害,hai,,phonetic,"no gloss needed: present for sound, not meaning",1,割
寍,,,phonetic,"no gloss needed: present for sound, not meaning",1,寧
尃,,,phonetic,"no gloss needed: present for sound, not meaning",1,搏
尃,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,博
